entity,n-revs
walter-server/walter_tornado/server.py,34
db/migrations/metadata/tables.yaml,27
walter-client/package.json,26
walter-client/packages/ai-director/src/App.tsx,22
windows/electron_app/src/preload.ts,22
windows/electron_app/package-template.json,21
walter-client/src/components/Chat/AgentUXWrapper.tsx,20
walter-client/src/Routes.tsx,20
walter-client/callflows/credit_pros.html,20
models/actions/intents_server.py,19
walter-client/src/components/Chat/Callflow/Widgets/Behavior.tsx,19
walter-server/walter_tornado/database.py,18
walter-client/src/components/Chat/AgentUX.tsx,18
walter-client/yarn.lock,18
walter-client/src/components/Chat/Callflow/Callflow.tsx,17
.circleci/config.yml,17
walter-server/walter_tornado/voice_session.py,16
walter-client/packages/ai-director/src/components/AudioPlayer/AudioMessageText.tsx,16
walter-client/src/components/Chat/Callflow/VerticalScroll.tsx,15
walter-client/src/pages/AgentPerformanceMetrics/AgentPerformanceMetricsView.tsx,15
windows/electron_app/src/main.ts,14
walter-client/src/components/Chat/Widgets/ActiveWidget.tsx,14
walter-client/src/components/Chat/NotesOrTranscript.tsx,14
integrations/event-broker/event_broker/publishers/redis_publisher.py,14
integrations/event-broker/event_broker/connectors/hoducc_webconnector.py,13
db/utils/seed-data.js,13
windows/electron_app/package.json,12
walter-client/src/components/Chat/Widgets/RuleRanker.ts,12
walter-client/packages/ai-director/src/pages/AgentProgression/BehaviorHeatMap/ProgressionHeatMapContainer.tsx,12
walter-client/packages/ai-director/src/pages/AgentProgression/ChatsListDrawer/ChatsListDrawer.tsx,11
walter-client/src/components/Chat/Callflow/Widgets/SelectionWidget.tsx,11
walter-client/packages/ai-director/src/components/AudioPlayer/AudioMessage.tsx,11
walter-client/packages/ai-director/src/components/AudioPlayer/AudioTranscript.tsx,11
walter-client/src/components/Chat/Callflow.tsx,11
walter-client/packages/ai-director/src/pages/AgentProgression/BehaviorHeatMap/View.tsx,11
db/migrations/console.js,11
walter-client/packages/ai-director/package.json,11
walter-client/packages/ai-director/src/NavMenu.tsx,11
walter-client/src/tracking/track-voice-event-types.ts,11
walter-client/src/components/Notes/NoteExperiment.tsx,10
walter-client/packages/ai-director/src/pages/ClosedConversationDetails/ChatList/Container.tsx,10
walter-client/src/components/Chat/Callflow/StageRenderer.tsx,10
walter-client/src/components/BaseTitleBar/BaseTitleBar.tsx,10
walter-client/src/components/Chat/queries/chat-info-subscription.gql.ts,10
walter-client/packages/ai-director/src/components/StreamingAudioPlayer/AudioFetcher.ts,9
walter-client/packages/ai-director/src/pages/AgentProgression/TileContent/GroupTileContent.tsx,9
walter-client/packages/ai-director/src/pages/ConversationView/ConversationView.tsx,9
walter-client/packages/ai-director/src/components/IntentExampleFastAddMenu/FastAddMenu.tsx,9
walter-client/src/components/Chat/StatusIndicator.tsx,9
ai-agent/src/intent-detection-listener.ts,9
walter-client/src/components/Chat/Hints/HintWidget.tsx,9
ai-agent/src/microservices/hasura-walter/api.ts,8
walter-client/src/components/Chat/CloseCallFooter.tsx,8
walter-client/src/components/Chat/SleepnumberWidgets/ActiveWidget.tsx,8
walter-server/walter_tornado/speech_recognition/google_transcriber.py,8
walter-client/packages/ai-director/src/components/NewBehaviorLabelSelector/NewBehaviorLabelSelector.tsx,8
walter-server/bin/utils/users.py,8
walter-client/packages/ai-director/src/pages/ConversationView/MessageArea/View.tsx,8
walter-client/src/components/Chat/Hints/Hints.tsx,8
walter-client/src/components/Chat/SleepnumberWidgets/RuleRanker.ts,8
docker-compose.yml,8
walter-client/packages/ai-director/src/pages/AgentProgression/BehaviorHeatMap/Container.tsx,8
walter-client/seed-data.js,8
walter-server/bin/insert-user.py,8
walter-client/src/components/Chat/Blocks/Block.tsx,8
walter-client/src/components/Chat/Callflow/PageRenderer.tsx,7
walter-server/bin/delete-call.py,7
cronjobs/AgentProgression/src/populateShouldDoBehavior.ts,7
agent-progression-api/database.py,7
walter-server/walter_tornado/ffmpeg_interface.py,7
walter-client/packages/ai-director/src/pages/AgentProgression/ChatsListDrawer/BehaviorConversationExampleWithModal.tsx,7
walter-client/packages/ai-director/src/pages/MomentsPage/View.tsx,7
db/package.json,7
windows/electron_app/src/event_server.ts,7
walter-client/packages/ai-director/src/pages/VisualCallFlowEditor/PublishButton.tsx,7
walter-client/packages/ai-director/src/pages/ConversationView/ScrubberBar.tsx,7
walter-client/src/components/Transcript/TranscriptMessage.tsx,7
walter-server/bin/import-users.py,7
walter-client/src/components/Chat/KnowledgeBase/AlgoliaSearch.tsx,7
walter-client/packages/ai-director/src/pages/ConversationView/Panel/CheckListPanel.tsx,7
walter-client/packages/ai-director/src/pages/ClosedConversationDetails/ChatList/closed-chats.gql.tsx,7
walter-client/packages/ai-director/src/pages/AgentProgression/AgentProgression.tsx,7
integrations/event-broker/event_broker/connectors/event_broker.py,7
db/apply-migrations.prod.sh,6
walter-client/packages/ai-director/src/pages/ClosedConversationDetails/ChatList/View.tsx,6
walter-client/src/components/Intercom/Intercom.tsx,6
windows/electron_app/configuration/sleepnumber.json,6
walter-client/src/components/Chat/Callflow/Widgets/BehaviorIntent.tsx,6
walter-client/packages/ai-director/src/pages/AgentProgression/BehaviorHeatMap/BehaviorHeatMap.tsx,6
walter-client/packages/ai-director/src/pages/AgentProgression/BehaviorHeatMap/worker.ts,6
walter-client/src/pages/Login/Login.tsx,6
walter-client/src/components/DispositionConfirmation/DispositionConfirmation.tsx,6
walter-client/packages/uicommon/package.json,6
walter-client/packages/ai-director/src/pages/AgentProgression/ChatFiltersPicker.tsx,6
integrations/event-broker/server.py,6
walter-client/packages/ai-director/src/components/ActiveIntentsProvider/get-intents-and-examples.gql.ts,6
docker-compose.sh,6
walter-client/src/components/Chat/queries/used-widgets-subscription.gql.ts,6
walter-client/src/components/Chat/Callflow/FlowBar/flowbar.css,6
walter-server/walter_tornado/amazon_kinesis.py,6
walter-server/walter_tornado/amazon_connect_call.py,6
walter-client/packages/ai-director/src/components/IntentDrawer/DrawerContent.tsx,6
walter-client/apply-migrations.prod.sh,5
db/yarn.lock,5
walter-client/src/App.tsx,5
walter-client/src/components/DispositionConfirmation/View.tsx,5
windows/electron_app/configuration/credit-pros.json,5
walter-client/src/components/AudioVolumeMeter/WindowsVolumeMeter.tsx,5
windows/electron_app/configuration/keeptruckin.json,5
walter-client/src/components/Chat/Callflow/Widgets/TitleWrapper.tsx,5
walter-client/packages/ai-director/src/components/AudioPlayer/Redactor.ts,5
walter-client/src/components/Chat/Chat.tsx,5
walter-client/apply-migrations.staging.sh,5
windows/electron_app/configuration/homepoint.json,5
walter-client/src/components/Chat/Widgets/ActiveWidgetBase.tsx,5
walter-client/src/components/Notes/Notes.tsx,5
walter-client/packages/ai-director/src/pages/VisualCallFlowEditor/RouteWhitelist.tsx,5
walter-client/packages/ai-director/src/components/IntentExampleFastAddMenu/IntentExampleFastAddMenu.tsx,5
cronjobs/README.md,5
walter-client/packages/ai-director/src/pages/AgentProgression/HeatMap/XLabels.tsx,5
walter-server/bin/run-audio.py,5
walter-client/packages/ai-director/src/components/MessageTranscript/MessageTranscript.tsx,5
walter-client/src/temp-client.ts,5
walter-server/walter_tornado/audio_broadcast.py,5
walter-client/packages/ai-director/src/pages/ConversationView/AudioControls.tsx,5
walter-client/packages/ai-director/src/pages/AgentProgression/BehaviorHeatMap/ProgressionHeatMapView.tsx,5
models/actions/requirements.txt,5
walter-server/walter_tornado/redis_client.py,5
walter-client/src/components/Chat/Callflow/FlowBar/FlowBar.tsx,5
walter-client/src/components/IdentifyCaller/View.tsx,5
walter-client/src/pages/CallflowEditorPage/CallflowEditorPage.tsx,5
walter-client/packages/ai-director/src/pages/AgentProgression/BehaviorHeatMap/CalculateDataStructures.tsx,5
walter-client/src/components/Chat/AgentUXPostCall.tsx,4
walter-client/src/components/Chat/ObjectionList/ObjectionList.tsx,4
walter-client/packages/ai-director/src/pages/VisualCallFlowEditor/ContainerState.tsx,4
walter-client/src/components/AudioVolumeMeter/View.tsx,4
walter-client/src/pages/CallflowEditorPage/call-flow-query.gql.tsx,4
ai-agent/src/microservices/hasura-walter/types.ts,4
models/actions/intents_core.py,4
walter-client/src/components/Notes/NotesSelectionDropdown.tsx,4
walter-client/src/components/Notes/BehaviorNote.tsx,4
walter-client/packages/ai-director/src/pages/MomentsPage/intents-subscription.gql.ts,4
walter-client/src/components/Chat/queries/insert-used-widgets-mutation.gql.tsx,4
walter-client/src/components/Chat/Blocks/PastBlocks.tsx,4
walter-client/src/pages/CallflowEditorPage/get-active-intents.gql.ts,4
db/migrations/migrations/1614222360496_alter_table_app_messages_add_column_updated_at/down.sql,4
walter-client/packages/ai-director/src/pages/ActionsPage/View.tsx,4
.circleci/update_walter_server_image.py,4
walter-client/src/type-declarations/window.d.ts,4
walter-client/packages/ai-director/src/components/ActiveIntentsProvider/ActiveIntentsProvider.tsx,4
walter-server/requirements.txt,4
windows/electron_app/configuration/demo.json,4
ai-agent/src/listeners/moment-detection-listener.ts,4
walter-client/src/util/get-service-urls.ts,4
walter-client/src/setupProxy.js,4
windows/electron_app/src/types.ts,4
models/actions/subscriptions.py,4
walter-client/packages/ai-director/src/pages/ActionsPage/TriggerCreationMenu/CreateActionButton.tsx,4
windows/electron_app/configuration/staging.json,4
walter-server/walter_tornado/constants.py,4
windows/audiograb/audiograb_grabber.h,4
walter-client/callflows/keep_truckin.html,4
walter-client/packages/ai-director/src/pages/ClosedConversationDetails/ChatList/ChatCard.tsx,4
walter-client/packages/ai-director/src/pages/AgentProgression/queries/agent-behaviors.gql.ts,4
walter-server/bin/utils/__init__.py,4
walter-client/src/components/Intercom/cresta-black-logo.svg,4
integrations/event-broker/tests/test_event_broker_api.py,4
walter-client/src/components/Notes/Note.tsx,4
walter-client/packages/ai-director/tsconfig.json,4
db/migrations/migrations/1614222360496_alter_table_app_messages_add_column_updated_at/up.sql,4
walter-client/src/components/Transcript/Transcript.tsx,4
walter-client/tsconfig.json,4
windows/audiograb/audiograb_grabber.cpp,4
walter-client/packages/ai-director/src/pages/IntentsQAPage/IntentsQAPage.tsx,4
walter-client/packages/ai-director/src/components/DefaultChatRedirect/DefaultChatRedirect.tsx,4
walter-client/packages/ai-director/src/pages/AgentProgression/BehaviorHeatMap/agent-progression-all-agents.gql.ts,4
cronjobs/upload-should-do-x-prod.sh,4
walter-client/src/pages/CallflowEditorPage/CallflowDocumentEditor.tsx,4
walter-client/packages/ai-director/src/pages/ConversationDetailRouter.tsx,4
walter-client/packages/ai-director/src/pages/AgentClosedConversations/index.tsx,4
models/actions/hermes_db.py,4
ai-agent/src/index.ts,4
walter-client/packages/ai-director/src/pages/ConversationView/chat-info-live-query.gql.ts,4
walter-client/src/components/Chat/KnowledgeBase/KnowledgeBaseSearch.tsx,4
walter-client/src/components/ElectronTitleBar/ElectronTitleBar.tsx,4
walter-client/packages/ai-director/src/pages/VisualCallFlowEditor/CallFlowsState.tsx,4
walter-client/src/components/Chat/queries/widget-templates-query.gql.ts,4
walter-client/packages/ai-director/src/pages/AgentProgression/HeatMap/HeatMap.tsx,4
bin/make-test-calls.html,4
walter-client/callflows/cresta_1800.html,4
